dataset,aidan,baseline,naive
biocons,10.370132106651715,11.508932375930033,11.58757520216411
bioprod,6.2493850203689325,7.156291542917971,7.647171093256337
ch4,5.237280659822153,5.804243717270616,5.223005090056757
clima,23.584697130853797,32.72782664899603,27.99585541713905
co2,11.104705485819082,14.208993998147367,18.078765905046158
gdp,9.652739378103874,9.930496035304827,10.499812172312291
k2o,16.300841641611104,18.804390313068783,16.300841641611104
n,11.83358803955634,11.929425311980069,14.603122484906763
n2o,5.539694826748612,6.082487993069264,7.052528745615361
p2o5,17.628516819402435,20.40680429772076,19.893533528274748
pest,11.683102264600775,14.228008991727187,12.842149634107665
