"","index","accuracy","precision","recall","f1","auc","drift","event_type","example","classifier","drifter","drifter_target","incremental_memory"
"1","3","1","NaN","NaN","NaN","0","FALSE","6","WELL2_1","cla_majority","dfr_kswin","distribution",TRUE
"2","4","1","NaN","NaN","NaN","0","FALSE","6","WELL2_1","cla_majority","dfr_kswin","distribution",TRUE
"3","5","1","NaN","NaN","NaN","0","FALSE","6","WELL2_1","cla_majority","dfr_kswin","distribution",TRUE
"4","6","1","NaN","NaN","NaN","0","FALSE","6","WELL2_1","cla_majority","dfr_kswin","distribution",TRUE
"5","7","1","NaN","NaN","NaN","0","FALSE","6","WELL2_1","cla_majority","dfr_kswin","distribution",TRUE
"6","8","1","NaN","NaN","NaN","0","FALSE","6","WELL2_1","cla_majority","dfr_kswin","distribution",TRUE
"7","9","1","NaN","NaN","NaN","0","FALSE","6","WELL2_1","cla_majority","dfr_kswin","distribution",TRUE
"8","10","1","NaN","NaN","NaN","0","FALSE","6","WELL2_1","cla_majority","dfr_kswin","distribution",TRUE
"9","11","1","NaN","NaN","NaN","0","FALSE","6","WELL2_1","cla_majority","dfr_kswin","distribution",TRUE
"10","12","1","NaN","NaN","NaN","0","FALSE","6","WELL2_1","cla_majority","dfr_kswin","distribution",TRUE
"11","13","1","NaN","NaN","NaN","0","FALSE","6","WELL2_1","cla_majority","dfr_kswin","distribution",TRUE
"12","14","1","NaN","NaN","NaN","0","FALSE","6","WELL2_1","cla_majority","dfr_kswin","distribution",TRUE
"13","15","1","NaN","NaN","NaN","0","FALSE","6","WELL2_1","cla_majority","dfr_kswin","distribution",TRUE
"14","16","1","NaN","NaN","NaN","0","FALSE","6","WELL2_1","cla_majority","dfr_kswin","distribution",TRUE
"15","17","1","NaN","NaN","NaN","0","FALSE","6","WELL2_1","cla_majority","dfr_kswin","distribution",TRUE
"16","18","1","NaN","NaN","NaN","0","FALSE","6","WELL2_1","cla_majority","dfr_kswin","distribution",TRUE
"17","19","1","NaN","NaN","NaN","0","FALSE","6","WELL2_1","cla_majority","dfr_kswin","distribution",TRUE
"18","20","1","NaN","NaN","NaN","0","FALSE","6","WELL2_1","cla_majority","dfr_kswin","distribution",TRUE
"19","21","1","NaN","NaN","NaN","0","FALSE","6","WELL2_1","cla_majority","dfr_kswin","distribution",TRUE
"20","22","1","NaN","NaN","NaN","0","FALSE","6","WELL2_1","cla_majority","dfr_kswin","distribution",TRUE
"21","23","1","NaN","NaN","NaN","0","FALSE","6","WELL2_1","cla_majority","dfr_kswin","distribution",TRUE
"22","24","1","NaN","NaN","NaN","0","FALSE","6","WELL2_1","cla_majority","dfr_kswin","distribution",TRUE
"23","25","1","NaN","NaN","NaN","0","FALSE","6","WELL2_1","cla_majority","dfr_kswin","distribution",TRUE
"24","26","1","NaN","NaN","NaN","0","FALSE","6","WELL2_1","cla_majority","dfr_kswin","distribution",TRUE
"25","27","1","NaN","NaN","NaN","0","FALSE","6","WELL2_1","cla_majority","dfr_kswin","distribution",TRUE
"26","28","1","NaN","NaN","NaN","0","FALSE","6","WELL2_1","cla_majority","dfr_kswin","distribution",TRUE
"27","29","1","NaN","NaN","NaN","0","FALSE","6","WELL2_1","cla_majority","dfr_kswin","distribution",TRUE
"28","30","1","NaN","NaN","NaN","0","FALSE","6","WELL2_1","cla_majority","dfr_kswin","distribution",TRUE
"29","31","1","NaN","NaN","NaN","0","FALSE","6","WELL2_1","cla_majority","dfr_kswin","distribution",TRUE
"30","32","1","NaN","NaN","NaN","0","FALSE","6","WELL2_1","cla_majority","dfr_kswin","distribution",TRUE
"31","33","1","NaN","NaN","NaN","0","FALSE","6","WELL2_1","cla_majority","dfr_kswin","distribution",TRUE
"32","34","1","NaN","NaN","NaN","0","FALSE","6","WELL2_1","cla_majority","dfr_kswin","distribution",TRUE
"33","35","1","NaN","NaN","NaN","0","FALSE","6","WELL2_1","cla_majority","dfr_kswin","distribution",TRUE
"34","36","1","NaN","NaN","NaN","0","FALSE","6","WELL2_1","cla_majority","dfr_kswin","distribution",TRUE
"35","37","1","NaN","NaN","NaN","0","FALSE","6","WELL2_1","cla_majority","dfr_kswin","distribution",TRUE
"36","38","1","NaN","NaN","NaN","0","FALSE","6","WELL2_1","cla_majority","dfr_kswin","distribution",TRUE
"37","39","1","NaN","NaN","NaN","0","FALSE","6","WELL2_1","cla_majority","dfr_kswin","distribution",TRUE
"38","40","1","NaN","NaN","NaN","0","FALSE","6","WELL2_1","cla_majority","dfr_kswin","distribution",TRUE
"39","41","1","NaN","NaN","NaN","0","FALSE","6","WELL2_1","cla_majority","dfr_kswin","distribution",TRUE
"40","42","1","NaN","NaN","NaN","0","FALSE","6","WELL2_1","cla_majority","dfr_kswin","distribution",TRUE
"41","43","1","NaN","NaN","NaN","0","FALSE","6","WELL2_1","cla_majority","dfr_kswin","distribution",TRUE
"42","44","1","NaN","NaN","NaN","0","FALSE","6","WELL2_1","cla_majority","dfr_kswin","distribution",TRUE
