"","index","accuracy","precision","recall","f1","auc","drift","event_type","example","classifier","drifter","drifter_target","incremental_memory"
"1",3,1,NA,NA,NA,0,FALSE,6,"WELL4_1","cla_majority","dfr_multi_criteria","combination","combination"
"2",4,1,NA,NA,NA,0,FALSE,6,"WELL4_1","cla_majority","dfr_multi_criteria","combination","combination"
"3",5,1,NA,NA,NA,0,FALSE,6,"WELL4_1","cla_majority","dfr_multi_criteria","combination","combination"
"4",6,1,NA,NA,NA,0,FALSE,6,"WELL4_1","cla_majority","dfr_multi_criteria","combination","combination"
"5",7,1,NA,NA,NA,0,FALSE,6,"WELL4_1","cla_majority","dfr_multi_criteria","combination","combination"
"6",8,1,NA,NA,NA,0,FALSE,6,"WELL4_1","cla_majority","dfr_multi_criteria","combination","combination"
"7",9,1,NA,NA,NA,0,FALSE,6,"WELL4_1","cla_majority","dfr_multi_criteria","combination","combination"
"8",10,1,NA,NA,NA,0,FALSE,6,"WELL4_1","cla_majority","dfr_multi_criteria","combination","combination"
"9",11,1,NA,NA,NA,0,FALSE,6,"WELL4_1","cla_majority","dfr_multi_criteria","combination","combination"
"10",12,1,NA,NA,NA,0,FALSE,6,"WELL4_1","cla_majority","dfr_multi_criteria","combination","combination"
"11",13,1,NA,NA,NA,0,FALSE,6,"WELL4_1","cla_majority","dfr_multi_criteria","combination","combination"
"12",14,1,NA,NA,NA,0,FALSE,6,"WELL4_1","cla_majority","dfr_multi_criteria","combination","combination"
"13",15,1,NA,NA,NA,0,FALSE,6,"WELL4_1","cla_majority","dfr_multi_criteria","combination","combination"
"14",16,1,NA,NA,NA,0,FALSE,6,"WELL4_1","cla_majority","dfr_multi_criteria","combination","combination"
"15",17,1,NA,NA,NA,0,FALSE,6,"WELL4_1","cla_majority","dfr_multi_criteria","combination","combination"
"16",18,1,NA,NA,NA,0,FALSE,6,"WELL4_1","cla_majority","dfr_multi_criteria","combination","combination"
"17",19,1,NA,NA,NA,0,FALSE,6,"WELL4_1","cla_majority","dfr_multi_criteria","combination","combination"
"18",20,1,NA,NA,NA,0,FALSE,6,"WELL4_1","cla_majority","dfr_multi_criteria","combination","combination"
"19",21,1,NA,NA,NA,0,FALSE,6,"WELL4_1","cla_majority","dfr_multi_criteria","combination","combination"
"20",22,1,NA,NA,NA,0,FALSE,6,"WELL4_1","cla_majority","dfr_multi_criteria","combination","combination"
